power,memory Used,u_gpu,u_memory
24.43,22.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
27.63,51.0,0.0,0.0
